cluster,rank,label,count,share,cluster_size
167,2,InfiniBand Cables,37,0.03987068965517242,928
167,3,Networking Cables,29,0.03125,928
249,1,Notebooks,928,1.0,928
187,1,Printing Supplies,910,0.9848484848484849,924
187,2,Data Storage Mediums,5,0.005411255411255411,924
187,3,Portable Speakers,2,0.0021645021645021645,924
185,1,Notebook Parts & Accessories,906,0.9815817984832069,923
185,2,Chassis Components,10,0.010834236186348862,923
185,3,Mobile Phone Spare Parts,5,0.005417118093174431,923
150,1,System Components,905,0.9826275787187839,921
150,2,Server Barebones,15,0.016286644951140065,921
150,3,Servers,1,0.0010857763300760044,921
168,1,Networking Cables,517,0.5625680087051143,919
168,2,Keyboards,94,0.10228509249183895,919
168,3,USB Cables,56,0.060935799782372145,919
129,1,Notebook Parts & Accessories,916,1.0,916
199,1,Notebook Parts & Accessories,832,0.9265033407572383,898
